Hospital,Date,Bed Type,Status,Count
All SF Acute Hospitals,7/5/2020,Intensive Care Surge,Available,268
All SF Acute Hospitals,7/5/2020,Acute Care Surge,Available,463
All SF Acute Hospitals,7/5/2020,Acute Care,Available,463
All SF Acute Hospitals,7/5/2020,Intensive Care,Available,98
All SF Acute Hospitals,7/5/2020,Intensive Care,COVID-19 (Confirmed & Suspected),28
All SF Acute Hospitals,7/5/2020,Intensive Care,Other Patients,197
All SF Acute Hospitals,7/5/2020,Acute Care,COVID-19 (Confirmed & Suspected),47
All SF Acute Hospitals,7/5/2020,Acute Care,Other Patients,777
All SF Acute Hospitals,7/6/2020,Intensive Care Surge,Available,268
All SF Acute Hospitals,7/6/2020,Acute Care Surge,Available,402
All SF Acute Hospitals,7/6/2020,Acute Care,Available,402
All SF Acute Hospitals,7/6/2020,Intensive Care,Available,96
All SF Acute Hospitals,7/6/2020,Intensive Care,COVID-19 (Confirmed & Suspected),24
All SF Acute Hospitals,7/6/2020,Intensive Care,Other Patients,203
All SF Acute Hospitals,7/6/2020,Acute Care,COVID-19 (Confirmed & Suspected),62
All SF Acute Hospitals,7/6/2020,Acute Care,Other Patients,823
All SF Acute Hospitals,7/7/2020,Intensive Care Surge,Available,268
All SF Acute Hospitals,7/7/2020,Acute Care Surge,Available,383
All SF Acute Hospitals,7/7/2020,Acute Care,Available,383
All SF Acute Hospitals,7/7/2020,Intensive Care,Available,80
All SF Acute Hospitals,7/7/2020,Intensive Care,COVID-19 (Confirmed & Suspected),28
All SF Acute Hospitals,7/7/2020,Intensive Care,Other Patients,215
All SF Acute Hospitals,7/7/2020,Acute Care,COVID-19 (Confirmed & Suspected),63
All SF Acute Hospitals,7/7/2020,Acute Care,Other Patients,841
All SF Acute Hospitals,7/8/2020,Intensive Care Surge,Available,268
All SF Acute Hospitals,7/8/2020,Acute Care Surge,Available,354
All SF Acute Hospitals,7/8/2020,Acute Care,Available,354
All SF Acute Hospitals,7/8/2020,Intensive Care,Available,79
All SF Acute Hospitals,7/8/2020,Intensive Care,COVID-19 (Confirmed & Suspected),31
All SF Acute Hospitals,7/8/2020,Intensive Care,Other Patients,213
All SF Acute Hospitals,7/8/2020,Acute Care,COVID-19 (Confirmed & Suspected),54
All SF Acute Hospitals,7/8/2020,Acute Care,Other Patients,879
All SF Acute Hospitals,7/9/2020,Intensive Care Surge,Available,268
All SF Acute Hospitals,7/9/2020,Acute Care Surge,Available,260
All SF Acute Hospitals,7/9/2020,Intensive Care,COVID-19 (Confirmed & Suspected),33
All SF Acute Hospitals,7/9/2020,Intensive Care,Other Patients,209
All SF Acute Hospitals,7/9/2020,Acute Care,COVID-19 (Confirmed & Suspected),58
All SF Acute Hospitals,7/9/2020,Acute Care,Other Patients,969
All SF Acute Hospitals,7/9/2020,Acute Care,Available,260
All SF Acute Hospitals,7/9/2020,Intensive Care,Available,81
All SF Acute Hospitals,7/10/2020,Intensive Care Surge,Available,268
All SF Acute Hospitals,7/10/2020,Acute Care Surge,Available,333
All SF Acute Hospitals,7/10/2020,Acute Care,Available,333
All SF Acute Hospitals,7/10/2020,Intensive Care,Available,87
All SF Acute Hospitals,7/10/2020,Intensive Care,COVID-19 (Confirmed & Suspected),37
All SF Acute Hospitals,7/10/2020,Intensive Care,Other Patients,199
All SF Acute Hospitals,7/10/2020,Acute Care,COVID-19 (Confirmed & Suspected),49
All SF Acute Hospitals,7/10/2020,Acute Care,Other Patients,905
All SF Acute Hospitals,7/11/2020,Intensive Care Surge,Available,268
All SF Acute Hospitals,7/11/2020,Acute Care Surge,Available,372
All SF Acute Hospitals,7/11/2020,Acute Care,Available,372
All SF Acute Hospitals,7/11/2020,Intensive Care,Available,90
All SF Acute Hospitals,7/11/2020,Intensive Care,COVID-19 (Confirmed & Suspected),37
All SF Acute Hospitals,7/11/2020,Intensive Care,Other Patients,196
All SF Acute Hospitals,7/11/2020,Acute Care,COVID-19 (Confirmed & Suspected),50
All SF Acute Hospitals,7/11/2020,Acute Care,Other Patients,865
All SF Acute Hospitals,7/12/2020,Intensive Care Surge,Available,268
All SF Acute Hospitals,7/12/2020,Acute Care Surge,Available,371
All SF Acute Hospitals,7/12/2020,Acute Care,Available,371
All SF Acute Hospitals,7/12/2020,Intensive Care,Available,105
All SF Acute Hospitals,7/12/2020,Intensive Care,COVID-19 (Confirmed & Suspected),35
All SF Acute Hospitals,7/12/2020,Intensive Care,Other Patients,183
All SF Acute Hospitals,7/12/2020,Acute Care,COVID-19 (Confirmed & Suspected),60
All SF Acute Hospitals,7/12/2020,Acute Care,Other Patients,856
All SF Acute Hospitals,7/13/2020,Intensive Care Surge,Available,268
All SF Acute Hospitals,7/13/2020,Acute Care Surge,Available,297
All SF Acute Hospitals,7/13/2020,Acute Care,Available,297
All SF Acute Hospitals,7/13/2020,Intensive Care,Available,100
All SF Acute Hospitals,7/13/2020,Intensive Care,COVID-19 (Confirmed & Suspected),30
All SF Acute Hospitals,7/13/2020,Intensive Care,Other Patients,193
All SF Acute Hospitals,7/13/2020,Acute Care,COVID-19 (Confirmed & Suspected),61
All SF Acute Hospitals,7/13/2020,Acute Care,Other Patients,929
All SF Acute Hospitals,7/14/2020,Intensive Care Surge,Available,268
All SF Acute Hospitals,7/14/2020,Acute Care Surge,Available,294
All SF Acute Hospitals,7/14/2020,Acute Care,Available,294
All SF Acute Hospitals,7/14/2020,Intensive Care,Available,91
All SF Acute Hospitals,7/14/2020,Intensive Care,COVID-19 (Confirmed & Suspected),32
All SF Acute Hospitals,7/14/2020,Intensive Care,Other Patients,200
All SF Acute Hospitals,7/14/2020,Acute Care,COVID-19 (Confirmed & Suspected),67
All SF Acute Hospitals,7/14/2020,Acute Care,Other Patients,926
All SF Acute Hospitals,7/15/2020,Intensive Care Surge,Available,268
All SF Acute Hospitals,7/15/2020,Acute Care Surge,Available,292
All SF Acute Hospitals,7/15/2020,Acute Care,Available,292
All SF Acute Hospitals,7/15/2020,Intensive Care,Available,95
All SF Acute Hospitals,7/15/2020,Intensive Care,COVID-19 (Confirmed & Suspected),27
All SF Acute Hospitals,7/15/2020,Intensive Care,Other Patients,201
All SF Acute Hospitals,7/15/2020,Acute Care,COVID-19 (Confirmed & Suspected),67
All SF Acute Hospitals,7/15/2020,Acute Care,Other Patients,928
All SF Acute Hospitals,7/16/2020,Intensive Care Surge,Available,268
All SF Acute Hospitals,7/16/2020,Acute Care Surge,Available,238
All SF Acute Hospitals,7/16/2020,Acute Care,Available,238
All SF Acute Hospitals,7/16/2020,Intensive Care,Available,85
All SF Acute Hospitals,7/16/2020,Intensive Care,COVID-19 (Confirmed & Suspected),26
All SF Acute Hospitals,7/16/2020,Intensive Care,Other Patients,212
All SF Acute Hospitals,7/16/2020,Acute Care,COVID-19 (Confirmed & Suspected),72
All SF Acute Hospitals,7/16/2020,Acute Care,Other Patients,977
All SF Acute Hospitals,7/17/2020,Intensive Care Surge,Available,268
All SF Acute Hospitals,7/17/2020,Acute Care Surge,Available,272
All SF Acute Hospitals,7/17/2020,Acute Care,Available,272
All SF Acute Hospitals,7/17/2020,Intensive Care,Available,77
All SF Acute Hospitals,7/17/2020,Intensive Care,COVID-19 (Confirmed & Suspected),33
All SF Acute Hospitals,7/17/2020,Intensive Care,Other Patients,213
All SF Acute Hospitals,7/17/2020,Acute Care,COVID-19 (Confirmed & Suspected),66
All SF Acute Hospitals,7/17/2020,Acute Care,Other Patients,949
All SF Acute Hospitals,7/18/2020,Intensive Care Surge,Available,268
All SF Acute Hospitals,7/18/2020,Acute Care Surge,Available,319
All SF Acute Hospitals,7/18/2020,Acute Care,Available,319
All SF Acute Hospitals,7/18/2020,Intensive Care,Available,85
All SF Acute Hospitals,7/18/2020,Intensive Care,COVID-19 (Confirmed & Suspected),34
All SF Acute Hospitals,7/18/2020,Intensive Care,Other Patients,204
All SF Acute Hospitals,7/18/2020,Acute Care,COVID-19 (Confirmed & Suspected),64
All SF Acute Hospitals,7/18/2020,Acute Care,Other Patients,904
All SF Acute Hospitals,7/19/2020,Intensive Care Surge,Available,268
All SF Acute Hospitals,7/19/2020,Acute Care Surge,Available,308
All SF Acute Hospitals,7/19/2020,Acute Care,Available,308
All SF Acute Hospitals,7/19/2020,Intensive Care,Available,83
All SF Acute Hospitals,7/19/2020,Intensive Care,COVID-19 (Confirmed & Suspected),31
All SF Acute Hospitals,7/19/2020,Intensive Care,Other Patients,209
All SF Acute Hospitals,7/19/2020,Acute Care,COVID-19 (Confirmed & Suspected),73
All SF Acute Hospitals,7/19/2020,Acute Care,Other Patients,906
All SF Acute Hospitals,7/20/2020,Intensive Care Surge,Available,268
All SF Acute Hospitals,7/20/2020,Acute Care Surge,Available,260
All SF Acute Hospitals,7/20/2020,Acute Care,Available,260
All SF Acute Hospitals,7/20/2020,Intensive Care,Available,93
All SF Acute Hospitals,7/20/2020,Intensive Care,COVID-19 (Confirmed & Suspected),30
All SF Acute Hospitals,7/20/2020,Intensive Care,Other Patients,200
All SF Acute Hospitals,7/20/2020,Acute Care,COVID-19 (Confirmed & Suspected),73
All SF Acute Hospitals,7/20/2020,Acute Care,Other Patients,954
All SF Acute Hospitals,7/21/2020,Intensive Care Surge,Available,268
All SF Acute Hospitals,7/21/2020,Acute Care Surge,Available,278
All SF Acute Hospitals,7/21/2020,Intensive Care,Available,103
All SF Acute Hospitals,7/21/2020,Intensive Care,COVID-19 (Confirmed & Suspected),34
All SF Acute Hospitals,7/21/2020,Intensive Care,Other Patients,186
All SF Acute Hospitals,7/21/2020,Acute Care,COVID-19 (Confirmed & Suspected),72
All SF Acute Hospitals,7/21/2020,Acute Care,Other Patients,937
All SF Acute Hospitals,7/21/2020,Acute Care,Available,278
All SF Acute Hospitals,7/22/2020,Intensive Care Surge,Available,309
All SF Acute Hospitals,7/22/2020,Acute Care Surge,Available,406
All SF Acute Hospitals,7/22/2020,Acute Care,Available,414
All SF Acute Hospitals,7/22/2020,Intensive Care,Available,79
All SF Acute Hospitals,7/22/2020,Intensive Care,COVID-19 (Confirmed & Suspected),33
All SF Acute Hospitals,7/22/2020,Intensive Care,Other Patients,174
All SF Acute Hospitals,7/22/2020,Acute Care,COVID-19 (Confirmed & Suspected),85
All SF Acute Hospitals,7/22/2020,Acute Care,Other Patients,1117
All SF Acute Hospitals,7/23/2020,Intensive Care Surge,Available,298
All SF Acute Hospitals,7/23/2020,Acute Care,Available,375
All SF Acute Hospitals,7/23/2020,Acute Care Surge,Available,247
All SF Acute Hospitals,7/23/2020,Intensive Care,Available,68
All SF Acute Hospitals,7/23/2020,Intensive Care,COVID-19 (Confirmed & Suspected),33
All SF Acute Hospitals,7/23/2020,Intensive Care,Other Patients,185
All SF Acute Hospitals,7/23/2020,Intensive Care Surge,Occupied Surge,0
All SF Acute Hospitals,7/23/2020,Acute Care,COVID-19 (Confirmed & Suspected),70
All SF Acute Hospitals,7/23/2020,Acute Care,Other Patients,1171
All SF Acute Hospitals,7/23/2020,Acute Care Surge,Occupied Surge,0
All SF Acute Hospitals,7/24/2020,Intensive Care Surge,Available,298
All SF Acute Hospitals,7/24/2020,Acute Care,Available,412
All SF Acute Hospitals,7/24/2020,Acute Care Surge,Available,247
All SF Acute Hospitals,7/24/2020,Intensive Care,Available,67
All SF Acute Hospitals,7/24/2020,Intensive Care,COVID-19 (Confirmed & Suspected),36
All SF Acute Hospitals,7/24/2020,Intensive Care,Other Patients,183
All SF Acute Hospitals,7/24/2020,Intensive Care Surge,Occupied Surge,0
All SF Acute Hospitals,7/24/2020,Acute Care,COVID-19 (Confirmed & Suspected),72
All SF Acute Hospitals,7/24/2020,Acute Care Surge,Occupied Surge,0
All SF Acute Hospitals,7/24/2020,Acute Care,Other Patients,1132
All SF Acute Hospitals,7/25/2020,Intensive Care Surge,Available,298
All SF Acute Hospitals,7/25/2020,Acute Care,Available,447
All SF Acute Hospitals,7/25/2020,Acute Care Surge,Available,247
All SF Acute Hospitals,7/25/2020,Intensive Care,Available,87
All SF Acute Hospitals,7/25/2020,Intensive Care,COVID-19 (Confirmed & Suspected),36
All SF Acute Hospitals,7/25/2020,Intensive Care,Other Patients,163
All SF Acute Hospitals,7/25/2020,Intensive Care Surge,Occupied Surge,0
All SF Acute Hospitals,7/25/2020,Acute Care,COVID-19 (Confirmed & Suspected),69
All SF Acute Hospitals,7/25/2020,Acute Care,Other Patients,1100
All SF Acute Hospitals,7/25/2020,Acute Care Surge,Occupied Surge,0
All SF Acute Hospitals,7/26/2020,Intensive Care Surge,Available,298
All SF Acute Hospitals,7/26/2020,Acute Care,Available,455
All SF Acute Hospitals,7/26/2020,Acute Care Surge,Available,247
All SF Acute Hospitals,7/26/2020,Intensive Care,Available,99
All SF Acute Hospitals,7/26/2020,Intensive Care,COVID-19 (Confirmed & Suspected),36
All SF Acute Hospitals,7/26/2020,Intensive Care,Other Patients,151
All SF Acute Hospitals,7/26/2020,Intensive Care Surge,Occupied Surge,0
All SF Acute Hospitals,7/26/2020,Acute Care,COVID-19 (Confirmed & Suspected),73
All SF Acute Hospitals,7/26/2020,Acute Care,Other Patients,1088
All SF Acute Hospitals,7/26/2020,Acute Care Surge,Occupied Surge,0
All SF Acute Hospitals,7/27/2020,Intensive Care Surge,Available,298
All SF Acute Hospitals,7/27/2020,Acute Care,Available,393
All SF Acute Hospitals,7/27/2020,Acute Care Surge,Available,247
All SF Acute Hospitals,7/27/2020,Intensive Care,Available,76
All SF Acute Hospitals,7/27/2020,Intensive Care,COVID-19 (Confirmed & Suspected),40
All SF Acute Hospitals,7/27/2020,Intensive Care,Other Patients,170
All SF Acute Hospitals,7/27/2020,Acute Care,COVID-19 (Confirmed & Suspected),72
All SF Acute Hospitals,7/27/2020,Acute Care,Other Patients,1151
All SF Acute Hospitals,7/27/2020,Acute Care Surge,Occupied Surge,0
All SF Acute Hospitals,7/27/2020,Intensive Care Surge,Occupied Surge,0
All SF Acute Hospitals,7/28/2020,Intensive Care Surge,Available,298
All SF Acute Hospitals,7/28/2020,Acute Care Surge,Available,247
All SF Acute Hospitals,7/28/2020,Intensive Care,Available,70
All SF Acute Hospitals,7/28/2020,Intensive Care,COVID-19 (Confirmed & Suspected),42
All SF Acute Hospitals,7/28/2020,Intensive Care,Other Patients,174
All SF Acute Hospitals,7/28/2020,Intensive Care Surge,Occupied Surge,0
All SF Acute Hospitals,7/28/2020,Acute Care,COVID-19 (Confirmed & Suspected),70
All SF Acute Hospitals,7/28/2020,Acute Care,Other Patients,1156
All SF Acute Hospitals,7/28/2020,Acute Care Surge,Occupied Surge,0
All SF Acute Hospitals,7/28/2020,Acute Care,Available,390
All SF Acute Hospitals,7/29/2020,Intensive Care Surge,Available,298
All SF Acute Hospitals,7/29/2020,Acute Care Surge,Available,247
All SF Acute Hospitals,7/29/2020,Intensive Care,Available,70
All SF Acute Hospitals,7/29/2020,Intensive Care,COVID-19 (Confirmed & Suspected),42
All SF Acute Hospitals,7/29/2020,Intensive Care,Other Patients,174
All SF Acute Hospitals,7/29/2020,Intensive Care Surge,Occupied Surge,0
All SF Acute Hospitals,7/29/2020,Acute Care,COVID-19 (Confirmed & Suspected),75
All SF Acute Hospitals,7/29/2020,Acute Care Surge,Occupied Surge,0
All SF Acute Hospitals,7/29/2020,Acute Care,Other Patients,1167
All SF Acute Hospitals,7/29/2020,Acute Care,Available,374
All SF Acute Hospitals,7/30/2020,Intensive Care Surge,Available,298
All SF Acute Hospitals,7/30/2020,Acute Care,Available,388
All SF Acute Hospitals,7/30/2020,Acute Care Surge,Available,247
All SF Acute Hospitals,7/30/2020,Intensive Care,Available,76
All SF Acute Hospitals,7/30/2020,Intensive Care,COVID-19 (Confirmed & Suspected),41
All SF Acute Hospitals,7/30/2020,Intensive Care,Other Patients,169
All SF Acute Hospitals,7/30/2020,Intensive Care Surge,Occupied Surge,0
All SF Acute Hospitals,7/30/2020,Acute Care,COVID-19 (Confirmed & Suspected),82
All SF Acute Hospitals,7/30/2020,Acute Care,Other Patients,1146
All SF Acute Hospitals,7/30/2020,Acute Care Surge,Occupied Surge,0
All SF Acute Hospitals,7/31/2020,Intensive Care Surge,Available,298
All SF Acute Hospitals,7/31/2020,Acute Care,Available,431
All SF Acute Hospitals,7/31/2020,Acute Care Surge,Available,247
All SF Acute Hospitals,7/31/2020,Intensive Care,Available,82
All SF Acute Hospitals,7/31/2020,Intensive Care,Other Patients,165
All SF Acute Hospitals,7/31/2020,Intensive Care Surge,Occupied Surge,0
All SF Acute Hospitals,7/31/2020,Acute Care,COVID-19 (Confirmed & Suspected),70
All SF Acute Hospitals,7/31/2020,Acute Care,Other Patients,1115
All SF Acute Hospitals,7/31/2020,Acute Care Surge,Occupied Surge,0
All SF Acute Hospitals,7/31/2020,Intensive Care,COVID-19 (Confirmed & Suspected),39
All SF Acute Hospitals,8/1/2020,Intensive Care Surge,Available,298
All SF Acute Hospitals,8/1/2020,Acute Care,Available,522
All SF Acute Hospitals,8/1/2020,Acute Care Surge,Available,247
All SF Acute Hospitals,8/1/2020,Intensive Care,Available,98
All SF Acute Hospitals,8/1/2020,Intensive Care,COVID-19 (Confirmed & Suspected),40
All SF Acute Hospitals,8/1/2020,Intensive Care,Other Patients,148
All SF Acute Hospitals,8/1/2020,Intensive Care Surge,Occupied Surge,0
All SF Acute Hospitals,8/1/2020,Acute Care,COVID-19 (Confirmed & Suspected),74
All SF Acute Hospitals,8/1/2020,Acute Care,Other Patients,1020
All SF Acute Hospitals,8/1/2020,Acute Care Surge,Occupied Surge,0
All SF Acute Hospitals,8/2/2020,Intensive Care Surge,Available,298
All SF Acute Hospitals,8/2/2020,Acute Care,Available,523
All SF Acute Hospitals,8/2/2020,Acute Care Surge,Available,247
All SF Acute Hospitals,8/2/2020,Intensive Care,Available,102
All SF Acute Hospitals,8/2/2020,Intensive Care,COVID-19 (Confirmed & Suspected),37
All SF Acute Hospitals,8/2/2020,Intensive Care,Other Patients,147
All SF Acute Hospitals,8/2/2020,Intensive Care Surge,Occupied Surge,0
All SF Acute Hospitals,8/2/2020,Acute Care,COVID-19 (Confirmed & Suspected),70
All SF Acute Hospitals,8/2/2020,Acute Care,Other Patients,1023
All SF Acute Hospitals,8/2/2020,Acute Care Surge,Occupied Surge,0
All SF Acute Hospitals,8/3/2020,Intensive Care Surge,Available,298
All SF Acute Hospitals,8/3/2020,Acute Care,Available,488
All SF Acute Hospitals,8/3/2020,Acute Care Surge,Available,247
All SF Acute Hospitals,8/3/2020,Intensive Care,Available,91
All SF Acute Hospitals,8/3/2020,Intensive Care,COVID-19 (Confirmed & Suspected),36
All SF Acute Hospitals,8/3/2020,Intensive Care,Other Patients,159
All SF Acute Hospitals,8/3/2020,Intensive Care Surge,Occupied Surge,0
All SF Acute Hospitals,8/3/2020,Acute Care,COVID-19 (Confirmed & Suspected),68
All SF Acute Hospitals,8/3/2020,Acute Care,Other Patients,1060
All SF Acute Hospitals,8/3/2020,Acute Care Surge,Occupied Surge,0
All SF Acute Hospitals,8/4/2020,Intensive Care Surge,Available,298
All SF Acute Hospitals,8/4/2020,Acute Care,Available,532
All SF Acute Hospitals,8/4/2020,Acute Care Surge,Available,247
All SF Acute Hospitals,8/4/2020,Intensive Care,Available,95
All SF Acute Hospitals,8/4/2020,Intensive Care,COVID-19 (Confirmed & Suspected),34
All SF Acute Hospitals,8/4/2020,Intensive Care,Other Patients,157
All SF Acute Hospitals,8/4/2020,Intensive Care Surge,Occupied Surge,0
All SF Acute Hospitals,8/4/2020,Acute Care,COVID-19 (Confirmed & Suspected),66
All SF Acute Hospitals,8/4/2020,Acute Care,Other Patients,1018
All SF Acute Hospitals,8/4/2020,Acute Care Surge,Occupied Surge,0
All SF Acute Hospitals,8/5/2020,Intensive Care Surge,Available,298
All SF Acute Hospitals,8/5/2020,Acute Care,Available,455
All SF Acute Hospitals,8/5/2020,Acute Care Surge,Available,247
All SF Acute Hospitals,8/5/2020,Intensive Care,Available,88
All SF Acute Hospitals,8/5/2020,Intensive Care,COVID-19 (Confirmed & Suspected),34
All SF Acute Hospitals,8/5/2020,Intensive Care Surge,Occupied Surge,0
All SF Acute Hospitals,8/5/2020,Acute Care,COVID-19 (Confirmed & Suspected),63
All SF Acute Hospitals,8/5/2020,Acute Care,Other Patients,1098
All SF Acute Hospitals,8/5/2020,Acute Care Surge,Occupied Surge,0
All SF Acute Hospitals,8/5/2020,Intensive Care,Other Patients,164
All SF Acute Hospitals,8/6/2020,Intensive Care Surge,Available,298
All SF Acute Hospitals,8/6/2020,Acute Care,Available,486
All SF Acute Hospitals,8/6/2020,Acute Care Surge,Available,247
All SF Acute Hospitals,8/6/2020,Intensive Care,Available,81
All SF Acute Hospitals,8/6/2020,Intensive Care,COVID-19 (Confirmed & Suspected),32
All SF Acute Hospitals,8/6/2020,Intensive Care,Other Patients,173
All SF Acute Hospitals,8/6/2020,Intensive Care Surge,Occupied Surge,0
All SF Acute Hospitals,8/6/2020,Acute Care,COVID-19 (Confirmed & Suspected),61
All SF Acute Hospitals,8/6/2020,Acute Care,Other Patients,1069
All SF Acute Hospitals,8/6/2020,Acute Care Surge,Occupied Surge,0
All SF Acute Hospitals,8/7/2020,Intensive Care Surge,Available,298
All SF Acute Hospitals,8/7/2020,Acute Care,Available,520
All SF Acute Hospitals,8/7/2020,Acute Care Surge,Available,247
All SF Acute Hospitals,8/7/2020,Intensive Care,Available,83
All SF Acute Hospitals,8/7/2020,Intensive Care,COVID-19 (Confirmed & Suspected),33
All SF Acute Hospitals,8/7/2020,Intensive Care,Other Patients,170
All SF Acute Hospitals,8/7/2020,Intensive Care Surge,Occupied Surge,0
All SF Acute Hospitals,8/7/2020,Acute Care,COVID-19 (Confirmed & Suspected),57
All SF Acute Hospitals,8/7/2020,Acute Care,Other Patients,1039
All SF Acute Hospitals,8/7/2020,Acute Care Surge,Occupied Surge,0
All SF Acute Hospitals,8/8/2020,Acute Care,Available,543
All SF Acute Hospitals,8/8/2020,Acute Care Surge,Available,247
All SF Acute Hospitals,8/8/2020,Intensive Care,Available,92
All SF Acute Hospitals,8/8/2020,Intensive Care,COVID-19 (Confirmed & Suspected),34
All SF Acute Hospitals,8/8/2020,Intensive Care,Other Patients,160
All SF Acute Hospitals,8/8/2020,Intensive Care Surge,Occupied Surge,0
All SF Acute Hospitals,8/8/2020,Acute Care,COVID-19 (Confirmed & Suspected),63
All SF Acute Hospitals,8/8/2020,Acute Care,Other Patients,1010
All SF Acute Hospitals,8/8/2020,Acute Care Surge,Occupied Surge,0
All SF Acute Hospitals,8/8/2020,Intensive Care Surge,Available,298
All SF Acute Hospitals,8/9/2020,Intensive Care Surge,Available,298
All SF Acute Hospitals,8/9/2020,Acute Care,Available,551
All SF Acute Hospitals,8/9/2020,Acute Care Surge,Available,247
All SF Acute Hospitals,8/9/2020,Intensive Care,Available,95
All SF Acute Hospitals,8/9/2020,Intensive Care,COVID-19 (Confirmed & Suspected),33
All SF Acute Hospitals,8/9/2020,Intensive Care,Other Patients,158
All SF Acute Hospitals,8/9/2020,Intensive Care Surge,Occupied Surge,0
All SF Acute Hospitals,8/9/2020,Acute Care,COVID-19 (Confirmed & Suspected),62
All SF Acute Hospitals,8/9/2020,Acute Care,Other Patients,1003
All SF Acute Hospitals,8/9/2020,Acute Care Surge,Occupied Surge,0
All SF Acute Hospitals,8/10/2020,Intensive Care Surge,Available,298
All SF Acute Hospitals,8/10/2020,Acute Care,Available,500
All SF Acute Hospitals,8/10/2020,Acute Care Surge,Available,247
All SF Acute Hospitals,8/10/2020,Intensive Care,Available,89
All SF Acute Hospitals,8/10/2020,Intensive Care,COVID-19 (Confirmed & Suspected),37
All SF Acute Hospitals,8/10/2020,Intensive Care,Other Patients,160
All SF Acute Hospitals,8/10/2020,Intensive Care Surge,Occupied Surge,0
All SF Acute Hospitals,8/10/2020,Acute Care,COVID-19 (Confirmed & Suspected),71
All SF Acute Hospitals,8/10/2020,Acute Care,Other Patients,1045
All SF Acute Hospitals,8/10/2020,Acute Care Surge,Occupied Surge,0
All SF Acute Hospitals,8/11/2020,Intensive Care Surge,Available,298
All SF Acute Hospitals,8/11/2020,Acute Care Surge,Available,247
All SF Acute Hospitals,8/11/2020,Intensive Care,Available,82
All SF Acute Hospitals,8/11/2020,Intensive Care,COVID-19 (Confirmed & Suspected),35
All SF Acute Hospitals,8/11/2020,Intensive Care,Other Patients,169
All SF Acute Hospitals,8/11/2020,Intensive Care Surge,Occupied Surge,0
All SF Acute Hospitals,8/11/2020,Acute Care,COVID-19 (Confirmed & Suspected),78
All SF Acute Hospitals,8/11/2020,Acute Care,Other Patients,1107
All SF Acute Hospitals,8/11/2020,Acute Care Surge,Occupied Surge,0
All SF Acute Hospitals,8/11/2020,Acute Care,Available,431
All SF Acute Hospitals,8/12/2020,Intensive Care Surge,Available,298
All SF Acute Hospitals,8/12/2020,Acute Care Surge,Available,247
All SF Acute Hospitals,8/12/2020,Intensive Care,Available,87
All SF Acute Hospitals,8/12/2020,Intensive Care,COVID-19 (Confirmed & Suspected),34
All SF Acute Hospitals,8/12/2020,Intensive Care,Other Patients,165
All SF Acute Hospitals,8/12/2020,Intensive Care Surge,Occupied Surge,0
All SF Acute Hospitals,8/12/2020,Acute Care,COVID-19 (Confirmed & Suspected),78
All SF Acute Hospitals,8/12/2020,Acute Care,Other Patients,1100
All SF Acute Hospitals,8/12/2020,Acute Care Surge,Occupied Surge,0
All SF Acute Hospitals,8/12/2020,Acute Care,Available,438
All SF Acute Hospitals,8/13/2020,Intensive Care Surge,Available,283
All SF Acute Hospitals,8/13/2020,Acute Care,Available,441
All SF Acute Hospitals,8/13/2020,Acute Care Surge,Available,233
All SF Acute Hospitals,8/13/2020,Intensive Care,Available,92
All SF Acute Hospitals,8/13/2020,Intensive Care,COVID-19 (Confirmed & Suspected),35
All SF Acute Hospitals,8/13/2020,Intensive Care,Other Patients,159
All SF Acute Hospitals,8/13/2020,Intensive Care Surge,Occupied Surge,15
All SF Acute Hospitals,8/13/2020,Acute Care,COVID-19 (Confirmed & Suspected),76
All SF Acute Hospitals,8/13/2020,Acute Care,Other Patients,1099
All SF Acute Hospitals,8/13/2020,Acute Care Surge,Occupied Surge,14
All SF Acute Hospitals,8/14/2020,Intensive Care Surge,Available,281
All SF Acute Hospitals,8/14/2020,Acute Care,Available,497
All SF Acute Hospitals,8/14/2020,Acute Care Surge,Available,241
All SF Acute Hospitals,8/14/2020,Intensive Care,Available,88
All SF Acute Hospitals,8/14/2020,Intensive Care,COVID-19 (Confirmed & Suspected),43
All SF Acute Hospitals,8/14/2020,Intensive Care,Other Patients,155
All SF Acute Hospitals,8/14/2020,Intensive Care Surge,Occupied Surge,17
All SF Acute Hospitals,8/14/2020,Acute Care,COVID-19 (Confirmed & Suspected),68
All SF Acute Hospitals,8/14/2020,Acute Care,Other Patients,1051
All SF Acute Hospitals,8/14/2020,Acute Care Surge,Occupied Surge,6
All SF Acute Hospitals,8/15/2020,Intensive Care Surge,Available,291
All SF Acute Hospitals,8/15/2020,Acute Care,Available,517
All SF Acute Hospitals,8/15/2020,Acute Care Surge,Available,238
All SF Acute Hospitals,8/15/2020,Intensive Care,Available,103
All SF Acute Hospitals,8/15/2020,Intensive Care,COVID-19 (Confirmed & Suspected),36
All SF Acute Hospitals,8/15/2020,Intensive Care,Other Patients,147
All SF Acute Hospitals,8/15/2020,Intensive Care Surge,Occupied Surge,7
All SF Acute Hospitals,8/15/2020,Acute Care,COVID-19 (Confirmed & Suspected),71
All SF Acute Hospitals,8/15/2020,Acute Care,Other Patients,1028
All SF Acute Hospitals,8/15/2020,Acute Care Surge,Occupied Surge,9
All SF Acute Hospitals,8/16/2020,Intensive Care Surge,Available,287
All SF Acute Hospitals,8/16/2020,Acute Care,Available,514
